Beacon1,Beacon2,Beacon3,Beacon4,Beacon5,Beacon6,Beacon7,Beacon8,Beacon9,Beacon10,Target
-79.7885537,-68.91166155,-94.86447524,-89.79614093,,-68.91166155,-79.7885537,-93.86463952,-93.86463952,,0
-80.98758568,-69.74185107,,-100.9853386,-92.53382839,-69.74185107,-80.98758568,,,,0
-91.98915073,,,-96.98796321,,,-91.98915073,-78.91165546,-78.91165546,-93.4501044,0
-80.65771352,-83.98961298,-85.86517345,,,-83.98961298,-80.65771352,,,-95.98832037,0
-65.81046617,-80.45065223,-91.53392444,-85.19954502,-87.98948135,-80.45065223,-65.81046617,,,-95.98832037,0
-75.8378009,-76.86526135,-86.97416051,-83.35089521,-100.9853386,-76.86526135,-75.8378009,-83.84390039,-83.84390039,-95.2244836,0
-95.53336362,,,-90.65744067,-90.864956,,-95.53336362,-97.98751362,-97.98751362,,0
-80.22532397,-81.24314385,-85.98956206,-89.98935344,-87.76606501,-81.24314385,-80.22532397,-90.53400073,-90.53400073,-98.98694767,0
-79.60682052,,-81.35074414,-94.9886041,-92.98900852,,-79.60682052,,,-97.98751362,0
-83.64870304,,-87.86511463,-100.9853386,,,-83.64870304,,,-99.9862353,0
,,-90.24298326,-83.82011527,,,,-87.98948135,-87.98948135,-95.2244836,0
-82.98963089,-85.45058972,-82.1833841,-89.86502141,-97.98751362,-85.45058972,-82.98963089,-91.98915073,-91.98915073,-89.98935344,0
-70.80798163,-81.72393753,-84.03781214,-95.98832037,-95.98832037,-81.72393753,-70.80798163,-93.98882948,-93.98882948,,0
-83.37384163,,-96.98796321,-104.978753,-92.45022301,,-83.37384163,,,,0
-83.79632711,-91.98915073,-78.57572474,-95.98832037,-90.98926371,-91.98915073,-83.79632711,-97.98751362,-97.98751362,-94.9886041,0
-78.76615579,,-93.97874869,-95.98832037,-96.98796321,,-78.76615579,,,,0
-82.98963089,-95.98832037,-85.98956206,-90.98926371,,-95.98832037,-82.98963089,-89.86502141,-89.86502141,,0
-81.08306105,-70.45067824,,-97.98751362,-92.98900852,-70.45067824,-81.08306105,,,,0
-89.98935344,,-81.98964511,-95.98832037,-94.9886041,,-89.98935344,,,,0
-83.01641992,,-90.22507697,-94.9886041,,,-83.01641992,-91.98915073,-91.98915073,-99.9862353,0
,-87.19946581,,,,-87.19946581,,,,,0
-83.98961298,,-92.85862031,,,,-83.98961298,,,,0
-77.64873318,-76.06275971,-89.57553687,,,-76.06275971,-77.64873318,,,,0
-87.35063812,-72.98969313,,-95.98832037,,-72.98969313,-87.35063812,-99.9862353,-99.9862353,,0
-82.01643065,-55.83450362,-92.53382839,-96.98796321,-90.98926371,-55.83450362,-82.01643065,-88.47454722,-88.47454722,-96.53312239,0
-84.38085017,,-92.98900852,-90.98926371,,,-84.38085017,-95.98832037,-95.98832037,,0
-68.45067931,-84.98959044,,,,-84.98959044,-68.45067931,,,-99.9862353,0
-74.85895052,-77.0627579,-77.85069435,-91.97898907,-93.79597321,-77.0627579,-74.85895052,-89.18326888,-89.18326888,-90.98926371,0
-66.52323663,-81.98964511,,-87.979291,-82.82010727,-81.98964511,-66.52323663,-88.98942473,-88.98942473,,0
-82.45063532,-78.44037511,-88.22517825,-80.4201844,-93.22480384,-78.44037511,-82.45063532,-85.38083784,-85.38083784,-94.9886041,0
-77.45066665,-92.86477001,-84.6000545,,,-92.86477001,-77.45066665,-94.22466207,-94.22466207,,0
-83.37384163,,-78.30192622,-90.98926371,-94.9886041,,-83.37384163,-93.98882948,-93.98882948,-93.86463952,0
-94.9886041,-91.98915073,-97.98751362,,-96.98796321,-91.98915073,-94.9886041,-89.47449974,-89.47449974,-99.9862353,0
-83.59260275,-74.14206669,-87.03123819,-92.8163822,-93.74531972,-74.14206669,-83.59260275,-90.53400073,-90.53400073,-98.98694767,0
-87.86118028,,-98.98694767,-99.9862353,,,-87.86118028,-78.14205987,-78.14205987,-87.22181832,0
-77.03127765,-69.14206977,-91.86500711,-87.19092319,-100.9853386,-69.14206977,-77.03127765,,,,0
-79.45065817,-83.97933494,-88.98942473,-88.85882226,,-83.97933494,-79.45065817,,,,0
,-81.53425831,-96.22425893,,,-81.53425831,,,,-95.86426844,0
-75.2037714,,-91.86487366,-98.98694767,-96.98796321,,-75.2037714,-97.98751362,-97.98751362,-98.98694767,0
-86.45056605,,-92.86477001,-95.98832037,-96.98796321,,-86.45056605,,,,0
-81.01643918,,-90.98926371,,,,-81.01643918,-89.98935344,-89.98935344,,0
-78.09561644,-81.98964511,,-96.98796321,,-81.98964511,-78.09561644,-95.98832037,-95.98832037,,0
-81.64871789,-86.5341781,-84.22528248,-83.65492551,-96.97810048,-86.5341781,-81.64871789,-89.47449974,-89.47449974,-88.79619206,0
-83.22529666,,-84.5803821,-90.864956,-87.19946581,,-83.22529666,,,-94.19891728,0
-74.24316237,,-89.86502141,-96.98796321,,,-74.24316237,-96.98796321,-96.98796321,,0
-82.43712946,,-85.45058972,-87.39958966,-95.98832037,,-82.43712946,-88.79619206,-88.79619206,,0
-89.98935344,-87.37378451,,-98.86326787,-90.98926371,-87.37378451,-89.98935344,-78.85894248,-78.85894248,-93.4501044,0
-79.09561354,-68.55342614,-88.98942473,-90.98926371,-95.86426844,-68.55342614,-79.09561354,,,-100.9853386,0
-82.70150118,-71.97939598,,,,-71.97939598,-82.70150118,,,,0
-87.47458494,-98.98694767,-93.01595024,,,-98.98694767,-87.47458494,-93.01595024,-93.01595024,-97.79482102,0
-79.76615241,,-98.98694767,-93.4501044,-98.98694767,,-79.76615241,-98.98694767,-98.98694767,,0
,,-95.98832037,-90.53400073,-96.22425893,,,-94.22466207,-94.22466207,,0
-79.22532962,-88.98942473,,,,-88.98942473,-79.22532962,-91.45031723,-91.45031723,-102.9827897,0
-78.87520466,-82.53424871,-95.44976711,-86.20397183,-92.97888266,-82.53424871,-78.87520466,-89.86502141,-89.86502141,,0
-76.81024276,-79.98966538,-91.45031723,,-96.98796321,-79.98966538,-76.81024276,-100.9853386,-100.9853386,,0
-91.98915073,-80.98965641,-84.97931808,,,-80.98965641,-91.98915073,-91.98915073,-91.98915073,,0
-76.28772661,-69.09033422,-93.98882948,-91.66039799,-96.19851652,-69.09033422,-76.28772661,,,-97.98751362,0
,-89.98935344,-80.20375895,-84.97931808,,-89.98935344,,-89.79614093,-89.79614093,-97.98751362,0
-84.47465761,-86.45056605,-83.19954811,-86.86514741,,-86.45056605,-84.47465761,-89.86502141,-89.86502141,,0
-66.3894882,-81.98964511,-95.44976711,-90.72366845,-90.98926371,-81.98964511,-66.3894882,-95.98832037,-95.98832037,-99.9862353,0
-73.50939487,-86.45056605,-92.53382839,,-93.98882948,-86.45056605,-73.50939487,-96.98796321,-96.98796321,,0
-89.98935344,-93.98882948,-101.9842101,,-98.98694767,-93.98882948,-89.98935344,-80.86524221,-80.86524221,-93.98882948,0
-80.45065223,-81.98964511,,,-90.98926371,-81.98964511,-80.45065223,,,-101.9842101,0
-77.22533766,,-84.0164064,,-90.98926371,,-77.22533766,-98.98694767,-98.98694767,,0
-88.47454722,-85.45058972,-92.97888266,-94.44995508,,-85.45058972,-88.47454722,,,,0
-77.79637387,-76.01759106,-89.79614093,,,-76.01759106,-77.79637387,-94.9886041,-94.9886041,,0
-88.98942473,,-85.53420222,,,,-88.98942473,,,-93.98882948,0
-92.86477001,,-97.98751362,,,,-92.86477001,-97.98751362,-97.98751362,,0
-81.98964511,-89.98935344,-95.98832037,-87.79623268,-100.9853386,-89.98935344,-81.98964511,-91.98915073,-91.98915073,-101.9842101,0
-80.22532397,,-81.17660342,,-86.86120212,,-80.22532397,,,,0
-75.14206552,-90.98926371,-90.98926371,-94.44995508,,-90.98926371,-75.14206552,-93.4501044,-93.4501044,-99.9862353,0
-80.81045603,-80.68251985,-90.98926371,-91.98915073,-98.98694767,-80.68251985,-80.81045603,-88.53410948,-88.53410948,,0
-74.87263293,-75.91353261,-91.98915073,-87.755736,-96.98796321,-75.91353261,-74.87263293,-100.9853386,-100.9853386,,0
-85.53420222,,-89.14192862,-88.98942473,,,-85.53420222,,,,0
-78.70152066,-79.30259813,-85.72387894,-86.02176414,-91.86487366,-79.30259813,-78.70152066,-87.22181832,-87.22181832,-99.9862353,0
-85.97929684,,-82.97934834,-88.45049875,-96.98796321,,-85.97929684,,,,0
-74.88166402,-85.524335,,-83.19954811,-85.04649135,-85.524335,-74.88166402,-78.32074303,-78.32074303,-92.98900852,0
-70.97939682,,-95.98832037,,,,-70.97939682,,,,0
-77.97938372,,,,,,-77.97938372,,,-100.9853386,0
-91.97898907,-84.98959044,,-87.98948135,,-84.98959044,-91.97898907,-88.79619206,-88.79619206,-99.9862353,0
-80.0143849,-75.1393864,-86.78847905,-89.79614093,-102.9827897,-75.1393864,-80.0143849,-98.98694767,-98.98694767,-96.98796321,0
-85.1597942,,,-90.35049721,,,-85.1597942,,,,0
-82.9038492,-78.53493284,-93.01595024,-84.97931808,-87.755736,-78.53493284,-82.9038492,-90.21830482,-90.21830482,-99.9862353,0
-71.41823073,-77.85879755,-83.954907,-95.98832037,-92.53382839,-77.85879755,-71.41823073,-89.79614093,-89.79614093,-88.01630707,0
-81.19957964,-77.78945502,-88.82032906,-82.31545711,-86.3763701,-77.78945502,-81.19957964,-86.74564913,-86.74564913,,0
-84.98959044,-87.45053626,,,,-87.45053626,-84.98959044,,,,0
-73.28333556,,-75.0268251,-85.45058972,-89.45052805,,-73.28333556,-93.98882948,-93.98882948,,0
-89.45045152,,-93.19905821,-89.79614093,-95.2244836,,-89.45045152,-100.9853386,-100.9853386,-96.98796321,0
-77.97938372,-95.79539981,-87.45053626,-97.2239761,-96.98796321,-95.79539981,-77.97938372,,,,0
-79.51843263,-80.98965641,-91.22512108,-71.91392155,-91.87753289,-80.98965641,-79.51843263,-86.52684777,-86.52684777,,0
,,,-96.98796321,,,,-95.97836774,-95.97836774,,0
-64.13869485,-79.84448947,-98.98694767,,-87.57562408,-79.84448947,-64.13869485,-98.98694767,-98.98694767,-96.98796321,0
-77.87243097,-83.98961298,-79.68337239,-85.94521056,-89.03771696,-83.98961298,-77.87243097,-88.98942473,-88.98942473,-91.14184523,0
,-87.98948135,,-90.01621055,-86.98952633,-87.98948135,,,,-94.9886041,0
-79.21081853,-78.36677091,-82.99273089,-90.98926371,-95.44432927,-78.36677091,-79.21081853,-91.86487366,-91.86487366,,0
-83.38085997,-73.38089402,,-95.98832037,,-73.38089402,-83.38085997,,,-96.98796321,0
-77.86127583,-86.98952633,-94.44995508,-90.98926371,,-86.98952633,-77.86127583,-102.9827897,-102.9827897,,0
-86.86514741,-84.98959044,-81.88164258,-88.98942473,-96.98796321,-84.98959044,-86.86514741,-90.98926371,-90.98926371,-95.53336362,0
-81.06791736,-74.32403233,,-94.9886041,,-74.32403233,-81.06791736,,,,0
-81.86523398,-77.45066665,-92.19917016,-98.98694767,-94.44995508,-77.45066665,-81.86523398,-86.86514741,-86.86514741,,0
-86.22524216,-78.45066289,-96.98796321,-98.98694767,-95.86426844,-78.45066289,-86.22524216,-100.9853386,-100.9853386,-100.9853386,0
-84.80275409,-75.74572472,-83.15615247,-88.36392249,-97.2239761,-75.74572472,-84.80275409,-89.53406134,-89.53406134,,0
-78.36322154,-73.22534594,-90.864956,-94.9886041,-92.39485742,-73.22534594,-78.36322154,-86.86120212,-86.86120212,-105.975923,0
-72.50647822,-89.19938583,-82.70150118,-99.9862353,-94.9886041,-89.19938583,-72.50647822,-88.789334,-88.789334,-90.01621055,0
-75.53451632,-87.35063812,-82.80006221,-87.40247765,-97.98751362,-87.35063812,-75.53451632,-94.00780084,-94.00780084,-91.53392444,0
-87.98948135,,-90.98926371,-81.53425831,,,-87.98948135,-88.98942473,-88.98942473,-92.22491646,0
-92.97888266,,-100.9853386,,,,-92.97888266,-89.86502141,-89.86502141,,0
-89.53406134,-85.45058972,,,,-85.45058972,-89.53406134,,,,0
-82.0955995,,-90.98926371,-95.98832037,,,-82.0955995,-96.01543091,-96.01543091,-101.9842101,0
-78.45066289,-91.98915073,-87.45053626,-95.98832037,,-91.98915073,-78.45066289,-94.22466207,-94.22466207,,0
-81.65872268,,-89.98935344,-91.53392444,-95.98832037,,-81.65872268,-89.98935344,-89.98935344,-98.98694767,0
-72.85497238,,-83.37384163,-90.15967097,-87.86922517,,-72.85497238,-90.98937272,-90.98937272,-86.28769335,0
-77.14901579,-81.86523398,-90.45039207,-82.81044991,-87.52682756,-81.86523398,-77.14901579,-87.64864219,-87.64864219,,0
-90.98926371,,-96.98796321,-94.9886041,,,-90.98926371,,,-97.98751362,0
-87.22521387,,-85.98956206,-90.98926371,,,-87.22521387,,,-102.9827897,0
-80.05778846,-76.91673294,-90.97402966,-94.9886041,-95.98832037,-76.91673294,-80.05778846,,,,0
-80.70151312,-68.61355851,-89.19945807,-90.22507697,-97.98751362,-68.61355851,-80.70151312,-88.64861602,-88.64861602,-100.2226077,0
-79.90274142,,,,,,-79.90274142,-94.9886041,-94.9886041,-92.79589348,0
-96.98796321,,-90.53400073,-95.98832037,,,-96.98796321,,,,0
-83.98961298,-80.29174939,-82.98963089,-91.98915073,-87.97923646,-80.29174939,-83.98961298,-92.45022301,-92.45022301,,0
-76.73697299,-72.22534707,-91.22500591,-91.64848936,-95.79539981,-72.22534707,-76.73697299,-95.98832037,-95.98832037,,0
-87.98948135,,-90.01621055,-90.98926371,-93.01595024,,-87.98948135,-89.97914075,-89.97914075,,0
-78.88165594,-92.86477001,-95.98832037,-93.98882948,-100.9853386,-92.86477001,-78.88165594,,,-101.9842101,0
-91.98915073,-82.98963089,-84.98959044,,,-82.98963089,-91.98915073,,,-95.98832037,0
-72.85895248,-88.79619206,,,-97.98751362,-88.79619206,-72.85895248,-96.98796321,-96.98796321,,0
